 Tiempo(s),Angulo(rad),Velocidad(rad/s),Aceleracion(rad/s^2)
1.11,-5.67232006898,-15.0292241144,-29.8968436684
1.12,-5.82939970166,-15.5140377955,-26.934093395
1.13,-5.98647933434,-15.6594818998,-17.5071607067
1.14,-6.14355896702,-15.7564446361,-16.6991379049
1.15,-6.3006385997,-15.9018887404,-22.3552975178
1.16,-6.45771823238,-16.3382210534,-18.0458425746
1.17,-6.63225115758,-16.3867024215,-5.25214821202
1.18,-6.78933079026,-16.1442955809,-17.5071607067
1.19,-6.94641042294,-16.6291092621,-38.2464126209
1.2,-7.12094334814,-17.2108856794,-33.3982758098
1.21,-7.29547627334,-17.4048111518,-17.5071607067
1.22,-7.47000919854,-17.4532925199,-10.2349554901
1.23,-7.64454212374,-17.5017738881,-13.8710580984
1.24,-7.81907504893,-17.6472179924,-25.1833773243
1.25,-7.99360797413,-18.1320316735,-25.1833773243
1.26,-8.18559419185,-18.2774757778,-13.7363876314
1.27,-8.36012711705,-18.3259571459,-9.42693268824
1.28,-8.55211333477,-18.3744385141,-13.7363876314
1.29,-8.72664625997,-18.5198826184,-25.1833773243
1.3,-8.91863247769,-19.0046962995,-25.1833773243
1.31,-9.11061869541,-19.1501404038,-13.7363876314
1.32,-9.30260491313,-19.1986217719,-9.29226222127
1.33,-9.49459113085,-19.24710314,-12.9283648296
1.34,-9.68657734857,-19.3925472444,-21.412604249
1.35,-9.87856356629,-19.8288795574,-16.9684788388
1.36,-10.0880030765,-19.8773609255,-0.673352334875
1.37,-10.2799892942,-19.5864727168,-5.65615961294
1.38,-10.471975512,-19.9258422936,-17.9111721077
1.39,-10.6814150222,-20.0712863979,-21.0085928481
1.4,-10.8734012399,-20.2652118704,-28.9541503996
1.41,-11.0828407502,-20.7500255515,-26.799422928
1.42,-11.2922802604,-20.8954696558,-17.5071607067
1.43,-11.5017197706,-20.992432392,-16.4297969709
1.44,-11.7111592809,-21.1378764964,-19.7965586453
1.45,-11.9205987911,-21.5742088094,-3.36676167437
1.46,-12.1474915939,-21.5257274413,48.346697644
1.47,-12.3569311041,-20.7500255515,120.934079343
1.48,-12.5663706144,-19.3440658763,218.031486032
1.49,-12.7583568321,-16.3867024215,314.186199452
1.5,-12.8979831722,-12.7990811813,380.982751072
1.51,-13.0201562199,-8.53272078753,414.111685948
1.52,-13.0725160974,-3.9754721851,387.177592553
1.53,-13.08996939,-0.387850944888,317.148949726
1.54,-13.0725160974,2.32710566933,246.985636432
1.55,-13.0376095124,4.31484176187,199.850972991
1.56,-12.9852496348,6.10865238198,176.014300336
1.57,-12.9154364648,7.80550026586,157.968457762
1.58,-12.8281700022,9.35690404541,134.670466975
1.59,-12.723450247,10.471975512,112.988521792
1.6,-12.6187304919,11.4900842423,100.329497896
1.61,-12.4965574443,12.653637077,73.3954045013
1.62,-12.3569311041,13.0414880218,38.6504240218
1.63,-12.2347580565,13.2354134943,18.0458425746
1.64,-12.0951317163,13.526301703,-10.773637358
1.65,-11.9555053762,13.0414880218,-37.0343784181
1.66,-11.8333323285,12.4597116045,-33.2636053428
1.67,-11.7111592809,12.2657861321,-17.6418311737
1.68,-11.5889862332,12.217304764,-11.0429782919
1.69,-11.4668131856,12.1688233958,-17.6418311737
1.7,-11.344640138,11.9748979234,-33.3982758098
1.71,-11.2224670903,11.3931215061,-38.2464126209
1.72,-11.1177473352,10.908307825,-17.6418311737
1.73,-11.0130275801,11.1507146655,-6.19484148084
1.74,-10.8908545324,11.1022332974,-22.4899679848
1.75,-10.7861347773,10.6174196163,-33.3982758098
1.76,-10.6814150222,10.3265314076,-33.3982758098
1.77,-10.5766952671,9.84171772652,-22.4899679848
1.78,-10.4894288045,9.79323635841,-6.06017101387
1.79,-10.3847090494,10.035643199,-16.8338083719
1.8,-10.2799892942,9.55082951786,-34.6103100125
1.81,-10.1927228316,9.01753446864,-25.9914001261
1.82,-10.105456369,8.92057173242,-8.08022801849
1.83,-10.0181899064,9.16297857297,-13.7363876314
1.84,-9.91347015133,8.72664625997,-26.664752461
1.85,-9.84365698125,8.29031394697,-13.7363876314
1.86,-9.75639051865,8.53272078753,-8.08022801849
1.87,-9.66912405605,8.43575805131,-25.9914001261
1.88,-9.58185759345,7.90246300209,-34.7449804795
1.89,-9.51204442337,7.41764932098,-17.6418311737
1.9,-9.44223125329,7.66005616153,-9.69627362219
1.91,-9.35496479069,7.56309342531,-29.8968436684
1.92,-9.28515162061,6.98131700798,-42.825208498
1.93,-9.21533845053,6.39954059065,-29.7621732014
1.94,-9.16297857297,6.30257785442,-8.88825082034
1.95,-9.09316540289,6.54498469498,-13.8710580984
1.96,-9.02335223281,6.10865238198,-26.530081994
1.97,-8.97099235525,5.67232006898,-13.0630352966
1.98,-8.91863247769,5.91472690954,-5.25214821202
1.99,-8.84881930761,5.86624554143,-22.4899679848
2,-8.79645943005,5.38143186032,-34.2062986116
2.01,-8.74409955249,5.09054365165,-37.0343784181
2.02,-8.69173967493,4.55724860243,-29.7621732014
2.03,-8.65683308989,4.4118044981,-14.6790809003
2.04,-8.60447321233,4.36332312999,-9.56160315522
2.05,-8.56956662729,4.31484176187,-13.8710580984
2.06,-8.51720674973,4.16939765754,-26.1260705931
2.07,-8.48230016469,3.68458397643,-29.7621732014
2.08,-8.44739357965,3.49065850399,-25.5873887252
2.09,-8.41248699461,3.29673303154,-29.7621732014
2.1,-8.37758040957,2.81191935044,-26.1260705931
2.11,-8.36012711705,2.6664752461,-13.8710580984
2.12,-8.32522053201,2.61799387799,-9.42693268824
2.13,-8.30776723949,2.56951250988,-13.8710580984
2.14,-8.27286065445,2.42406840555,-26.1260705931
2.15,-8.25540736193,1.93925472444,-29.7621732014
2.16,-8.23795406941,1.74532925199,-25.7220591922
2.17,-8.22050077689,1.55140377955,-30.5701960033
2.18,-8.20304748437,1.06659009844,-29.7621732014
2.19,-8.20304748437,0.872664625997,-21.277933782
2.2,-8.18559419185,0.727220521664,-18.8538653765
2.21,-8.18559419185,0.387850944888,-10.2349554901
2.22,-8.18559419185,0.630257785442,-12.6590238956
2.23,-8.16814089933,0.436332312999,-38.2464126209
2.24,-8.16814089933,-0.436332312999,-38.2464126209
2.25,-8.18559419185,-0.630257785442,-12.6590238956
2.26,-8.18559419185,-0.387850944888,-10.2349554901
2.27,-8.18559419185,-0.727220521664,-18.8538653765
2.28,-8.20304748437,-0.872664625997,-21.1432633151
2.29,-8.20304748437,-1.06659009844,-28.8194799326
2.3,-8.22050077689,-1.55140377955,-25.8567296592
2.31,-8.23795406941,-1.69684788388,-13.0630352966
2.32,-8.25540736193,-1.74532925199,-5.79083007992
2.33,-8.27286065445,-1.74532925199,-6.46418241479
2.34,-8.29031394697,-1.79381062011,-16.6991379049
2.35,-8.30776723949,-1.98773609255,-33.2636053428
2.36,-8.32522053201,-2.56951250988,-38.2464126209
2.37,-8.36012711705,-3.05432619099,-17.5071607067
2.38,-8.39503370209,-2.81191935044,-5.386818679
2.39,-8.41248699461,-2.86040071855,-18.8538653765
2.4,-8.44739357965,-3.29673303154,-26.1260705931
2.41,-8.48230016469,-3.49065850399,-24.7793659234
2.42,-8.51720674973,-3.68458397643,-29.6275027345
2.43,-8.55211333477,-4.16939765754,-26.1260705931
2.44,-8.60447321233,-4.31484176187,-13.8710580984
2.45,-8.63937979737,-4.36332312999,-9.42693268824
2.46,-8.69173967493,-4.4118044981,-13.8710580984
2.47,-8.72664625997,-4.55724860243,-26.1260705931
2.48,-8.77900613753,-5.04206228354,-29.6275027345
2.49,-8.83136601509,-5.23598775598,-24.7793659234
2.5,-8.88372589265,-5.42991322843,-26.1260705931
2.51,-8.93608577021,-5.86624554143,-18.8538653765
2.52,-9.00589894029,-5.91472690954,-5.386818679
2.53,-9.05825881785,-5.67232006898,-17.5071607067
2.54,-9.11061869541,-6.15713375009,-38.2464126209
2.55,-9.18043186549,-6.73891016742,-33.2636053428
2.56,-9.25024503557,-6.93283563987,-16.5644674379
2.57,-9.32005820565,-6.98131700798,-5.65615961294
2.58,-9.38987137573,-6.98131700798,-2.02005700462
2.59,-9.45968454581,-6.98131700798,-4.84813681109
2.6,-9.52949771589,-7.02979837609,-12.9283648296
2.61,-9.59931088597,-7.17524248042,-25.9914001262
2.62,-9.66912405605,-7.66005616153,-29.7621732014
2.63,-9.75639051865,-7.85398163397,-25.5873887252
2.64,-9.82620368873,-8.04790710642,-29.7621732014
2.65,-9.91347015133,-8.53272078753,-26.1260705931
2.66,-10.0007366139,-8.67816489186,-13.8710580984
2.67,-10.0880030765,-8.72664625997,-9.42693268824
2.68,-10.1752695391,-8.77512762808,-13.7363876314
2.69,-10.2625360017,-8.92057173242,-25.1833773243
2.7,-10.3498024643,-9.40538541353,-25.1833773243
2.71,-10.4545222194,-9.55082951786,-13.7363876314
2.72,-10.541788682,-9.59931088597,-9.42693268824
2.73,-10.6465084372,-9.64779225408,-13.7363876314
2.74,-10.7337748998,-9.79323635841,-25.3180477913
2.75,-10.8384946549,-10.2780500395,-25.9914001262
2.76,-10.94321441,-10.4234941439,-17.5071607067
2.77,-11.0479341651,-10.5204568801,-17.5071607067
2.78,-11.1526539202,-10.6659009844,-25.9914001262
2.79,-11.2573736754,-11.1507146655,-25.3180477913
2.8,-11.379546723,-11.2961587699,-13.7363876314
2.81,-11.4842664781,-11.344640138,-9.42693268824
2.82,-11.6064395258,-11.3931215061,-13.7363876314
2.83,-11.7111592809,-11.5385656104,-25.1833773243
2.84,-11.8333323285,-12.0233792915,-24.7793659234
2.85,-11.9555053762,-12.1688233958,-10.638966891
2.86,-12.0776784238,-12.217304764,7.00286428269
2.87,-12.1998514714,-12.1203420277,37.303719352
2.88,-12.3220245191,-11.7324910829,92.7879517457
2.89,-12.4441975667,-10.3265314076,155.005707488
2.9,-12.5314640293,-8.48423941942,201.736359528
2.91,-12.6187304919,-6.10865238198,226.919736853
2.92,-12.653637077,-3.68458397643,222.879622843
2.93,-12.688543662,-1.59988514766,206.719166806
2.94,-12.688543662,0.581776417331,174.667595666
2.95,-12.6710903695,2.13318019688,123.492818216
2.96,-12.6361837844,2.81191935044,93.7306450145
2.97,-12.6187304919,3.68458397643,93.3266336136
2.98,-12.5663706144,4.8481368111,82.6876667226
2.99,-12.5140107368,5.38143186032,68.4125972232
3,-12.4616508592,6.10865238198,60.4670396717
3.01,-12.3918376892,6.73891016742,39.8624582246
3.02,-12.3220245191,6.93283563987,17.7765016407
3.03,-12.252211349,6.98131700798,5.65615961294
3.04,-12.1823981789,6.98131700798,0.942693268823
3.05,-12.1125850088,6.98131700798,-0.942693268824
3.06,-12.0427718388,6.98131700798,-5.52148914597
3.07,-11.9729586687,6.93283563987,-16.5644674379
3.08,-11.9031454986,6.73891016742,-33.2636053428
3.09,-11.8333323285,6.15713375009,-38.2464126209
3.1,-11.780972451,5.67232006898,-17.5071607067
3.11,-11.7286125734,5.91472690954,-5.38681867899
3.12,-11.6587994033,5.86624554143,-18.8538653765
3.13,-11.6064395258,5.42991322843,-26.1260705931
3.14,-11.5540796482,5.23598775598,-24.7793659234
3.15,-11.5017197706,5.04206228354,-29.6275027345
3.16,-11.4493598931,4.55724860243,-26.1260705931
3.17,-11.414453308,4.4118044981,-13.8710580984
3.18,-11.3620934305,4.36332312999,-9.56160315522
3.19,-11.3271868454,4.31484176187,-14.6790809003
3.2,-11.2748269679,4.16939765754,-29.7621732014
3.21,-11.2399203828,3.63610260832,-37.0343784181
3.22,-11.2050137978,3.34521439966,-34.2062986116
3.23,-11.1701072128,2.86040071855,-22.6246384518
3.24,-11.1526539202,2.81191935044,-6.19484148085
3.25,-11.1177473352,3.05432619099,-17.6418311737
3.26,-11.0828407502,2.56951250988,-38.2464126209
3.27,-11.0653874576,1.98773609255,-33.2636053428
3.28,-11.0479341651,1.79381062011,-16.6991379049
3.29,-11.0304808726,1.74532925199,-6.46418241479
3.3,-11.0130275801,1.74532925199,-5.79083007992
3.31,-10.9955742876,1.69684788388,-13.0630352966
3.32,-10.978120995,1.55140377955,-25.9914001262
